,Project Title,University,Description,field,Tuition,Rate,City,Duration,State,County,LATITUDE,LONGITUDE,PostPhdSalary,PostPhdEmploy,World Rank,USA Rank,Glassdoor Star,Salary_high,Salary_low,Salary/Stipend,State Avg Salary/Stipend,Required Income,Food,Housing,Transportation,Medical,Enough Income
15,Population Medicine,Mississippi State University,"The mission of the Population Medicine program from Mississippi State University is to develop the resources to meet the needs of professionals engaged in farm animal production, their advisors, veterinarians and regulators who protect the industries.",agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
16,Animal and Dairy Science,Mississippi State University,The Doctor of Philosophy in Animal and Dairy Science from Mississippi State University is developed by the student and his/her major professor with approval by the student's graduate committee in accordance with Graduate School policy and must include core courses as specified in the Graduate Catalog.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
17,Entomology,Mississippi State University,This Entomology program from Mississippi State University requires 60 credit hours of coursework above the baccalaureate degree.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
18,Wildlife and Wildlands Conservation,Brigham Young University,"This Wildlife and Wildlands Conservation program at Brigham Young University emphasizes the scientific method in developing critical thinking and analytical skills applied to conservation and management problems related to wildlife ecology, wildlands, restoration science and/or rangeland/wildland ecology.",agriculture-forestry,,,Provo,,Utah,Utah,40.2457,-111.6457,"75,000",82.7,1400,56,,,,,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,No
19,Animal Sciences,Kansas State University,"The Department of Animal Sciences and Industry at Kansas State University is a comprehensive unit supported by about 50 faculty devoted to research, teaching, and extension activities related to domestic farm animals species.",agriculture-forestry,19860.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"75,000",82.7,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
20,Agronomy,Mississippi State University,Graduate study offered in the Department of Plant and Soil Sciences leads to the Master of Science or the Doctor of Philosophy degree in Plant and Soil Sciences with a concentration in Agronomy from Mississippi State University.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
21,Animal Nutrition,Mississippi State University,The graduate program in Animal Nutrition from Mississippi State University is an interdepartmental curriculum leading to a Master of Science in Agriculture with a concentration in Animal Nutrition or a Doctor of Philosophy in Agricultural Sciences with a concentration in Animal Nutrition.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
22,Plant Pathology,The University of Arizona,"The Plant Pathology program from The University of Arizona provides broad training in the microbial sciences through core and elective coursework and in-depth research training opportunities in molecular, genetic, genomic, and ecological aspects of microbes, including free-living and plant-associated fungi, bacteria, and viruses.",agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
23,Agricultural Sciences - Poultry Science,Mississippi State University,The Ph.D. Agricultural Sciences - Poultry Science program from Mississippi State University requires a minimum of three academic years beyond the B.S. degree with the number of hours varying as determined by the student and major professor.,agriculture-forestry,,,Starkville,3.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
24,Infectious Disease,Mississippi State University,The Infectious Disease graduate program from Mississippi State University provides advanced educational opportunities for students in a broad range of biomedical and veterinary sciences.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
25,Veterinary Medical Research,Mississippi State University,The Veterinary Medical Research graduate program from Mississippi State University provides advanced educational opportunities for students in a broad range of biomedical and veterinary sciences.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
26,"Wildlife, Fisheries and Aquaculture",Mississippi State University,"A Ph.D. degree is offered in Forest Resources with emphasis in Wildlife, Fisheries and Aquaculture at the Mississippi State University.",agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
27,Forest Resources,Mississippi State University,Graduate study is offered in the Department of Forestry leading to the degrees of Master of Science in forestry and Doctor of Philosophy in forest resources. The Forest Resources program is offered by Mississippi State University.,agriculture-forestry,8533.0, year,Starkville,,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
28,Forestry,Mississippi State University,Graduate study is offered in the Department of Forestry leading to the degrees of Master of Science (M.S.) in Forestry (Main Campus and Distance Campus) and Doctor of Philosophy (Ph.D.) in Forest Resources with a concentration in Forestry at Mississippi State University.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
29,Animal Physiology,Mississippi State University,The graduate program in Animal Physiology is an interdisciplinary curriculum leading to a Master of Science in Agricultural Life Sciences with a concentration in Animal Physiology and/or Doctor of Philosophy degree in Life Sciences with a concentration in Animal Physiology at Mississippi State University.,agriculture-forestry,,,Starkville,3.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
30,Agricultural and Extension Education,Mississippi State University,The minimum requirement for the Doctor of Philosophy (Ph.D.) Agricultural and Extension Education degree from Mississippi State University is the completion of 90 semester hours of graduate credit on an approved program of study above the bachelor’s degree.,agriculture-forestry,,,Starkville,3.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
31,Animal and Comparative Biomedical Science,The University of Arizona,The Animal and Comparative Biomedical Science program from The University of Arizona provides our students with an opportunity to perform research that spans from molecular biology and whole animal physiology to meat and dairy production to studies on the business of horse racing.,agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
32,Plant Science,The University of Arizona,"The Plant Science program from The University of Arizona provides broad training in the plant sciences through core and elective coursework and in-depth research training opportunities in molecular, cellular, genetic, genomic, and physiological aspects of plants, including model organisms, crops, and wild relatives.",agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
33,Horticulture,Mississippi State University,Graduate study offered in the Department of Plant and Soil Sciences leads to the Master of Science or the Doctor of Philosophy degree in Plant and Soil Sciences with a concentration in Horticulture at Mississippi State University.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
34,Natural Resources - Fisheries Conservation and Management,The University of Arizona,The study of the Natural Resources - Fisheries Conservation and Management program from The University of Arizona includes all the biological and physical processes of ecosystems - knowledge needed for sustainable use of rangelands as well as management of the diverse and complex systems that they support.,agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
35,Population Medicine,Mississippi State University,"The mission of the Population Medicine program from Mississippi State University is to develop the resources to meet the needs of professionals engaged in farm animal production, their advisors, veterinarians and regulators who protect the industries.",agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
36,Animal and Dairy Science,Mississippi State University,The Doctor of Philosophy in Animal and Dairy Science from Mississippi State University is developed by the student and his/her major professor with approval by the student's graduate committee in accordance with Graduate School policy and must include core courses as specified in the Graduate Catalog.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
37,Entomology,Mississippi State University,This Entomology program from Mississippi State University requires 60 credit hours of coursework above the baccalaureate degree.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
38,Wildlife and Wildlands Conservation,Brigham Young University,"This Wildlife and Wildlands Conservation program at Brigham Young University emphasizes the scientific method in developing critical thinking and analytical skills applied to conservation and management problems related to wildlife ecology, wildlands, restoration science and/or rangeland/wildland ecology.",agriculture-forestry,,,Provo,,Utah,Utah,40.2457,-111.6457,"75,000",82.7,1400,56,,,,,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,No
39,Animal Sciences,Kansas State University,"The Department of Animal Sciences and Industry at Kansas State University is a comprehensive unit supported by about 50 faculty devoted to research, teaching, and extension activities related to domestic farm animals species.",agriculture-forestry,19860.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"75,000",82.7,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
40,Wildlife and Wildlands Conservation,Brigham Young University,"This Wildlife and Wildlands Conservation program at Brigham Young University emphasizes the scientific method in developing critical thinking and analytical skills applied to conservation and management problems related to wildlife ecology, wildlands, restoration science and/or rangeland/wildland ecology.",agriculture-forestry,,,Provo,,Utah,Utah,40.2457,-111.6457,"75,000",82.7,1400,56,,,,,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,No
41,Agronomy,Kansas State University,"Incoming Agronomy students at Kansas State University , commonly have a Bachelor of Science degree in agriculture, agronomy, crop science, soil science, or a related life science. The most important considerations for applicants are an interest in continued study and intensive research in a specific area of agronomy along with minimum prerequisites for admission to the program.",agriculture-forestry,19860.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"75,000",82.7,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
42,"Food, Agricultural and Biological Engineering",The Ohio State University,"The Department of Food, Agricultural and Biological Engineering at the The Ohio State University offers a PhD in food, agricultural and biological engineering. Students work with world-class scientists and researchers in various fields including ecological engineering, agricultural water management and bioengery.",agriculture-forestry,40265.0, year,Columbus,5.0,Ohio,Franklin,39.9862,-82.9855,"75,000",82.7,1400,40,4.1,52000.0,30000.0,39678.0,41441.0,31890.0,4010.0,7593.0,5356.0,3262.0,Yes
43,Forestry and Natural Resources,University of Georgia,In the Forestry and Natural Resources phd degree at University of Georgia we prepare leaders in the conservation and sustainable management of forests and other natural resources; to discover ways to restore and better use the earth’s natural resources; and to put into practice forestry and natural resources knowledge.,agriculture-forestry,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"75,000",82.7,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
44,Plant Pathology,Cornell University,Plant Pathology and Plant-Microbe Biology are the study of plant diseases and the biology of plant-microbe interactions at the molecular to ecosystem levels of organization. The Plant Pathology program is offered by Cornell University.,agriculture-forestry,19192.0, year,Ithaca,4.0,New York,Tompkins,42.4442,-76.5032,"75,000",82.7,19,4,4.4,52000.0,34000.0,41741.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
45,Agricultural Economics,Louisiana State University,Agricultural Economics from Louisiana State University is a rigorous extension of M.S. work with the opportunity for the student to broaden and strengthen training.,agriculture-forestry,27172.0, year,Baton Rouge,,Louisiana,East Baton Rouge,30.442,-91.1311,"75,000",82.7,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
46,Forest and Natural Resource Sciences,University of Kentucky,Forest and Natural Resource Sciences encompasses at University of Kentucky a wide variety of social and natural science disciplines while addressing issues that range from molecular to landscape and societal levels.,agriculture-forestry,,,Lexington-Fayette,,,,,,"75,000",82.7,1400,81,4.1,48000.0,30000.0,38115.0,,,,,,,No
47,Atmospheric and Oceanic Sciences,Princeton University,The Program in Atmospheric and Oceanic Sciences (AOS) from Princeton University offers graduate study under the sponsorship of the Department of Geosciences.,agriculture-forestry,55741.0, year,Princeton,4.0,California,Colusa,39.4016,-122.0194,"75,000",82.7,6,17,4.4,52000.0,34000.0,41968.0,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
48,"Fish, Wildlife, and Conservation Biology",Colorado State University,"The Department of Fish, Wildlife, and Conservation Biology from Colorado State University was the first in natural resources to emphasize the importance of incorporating public input and to implement two way communications into planning and decision-making regarding wildlife policy.",agriculture-forestry,29311.0, year,Fort Collins,3.0,Colorado,Larimer,40.5477,-105.0656,"75,000",82.7,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
49,Forest Sciences,Colorado State University,"This Forest Sciences program from Colorado State University leads to a high degree of specialization.  A Ph.D. program requires five years of full-time work beyond a bachelor’s, or three years beyond a master’s.",agriculture-forestry,29311.0, year,Fort Collins,5.0,Colorado,Larimer,40.5477,-105.0656,"75,000",82.7,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
50,Forest Resources and Conservation,University of Florida,"The SFFGS at University of Florida offers graduate programs leading to the Master of Forest Resources and Conservation (professional, non-thesis), Master of Science (thesis and non-thesis), and Doctor of Philosophy degrees in Forest Resources and Conservation.",agriculture-forestry,27805.0, year,Gainesville,5.0,Florida,Alachua,29.6804,-82.3459,"75,000",82.7,1400,26,4.2,48000.0,30000.0,38382.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
51,Horticultural Sciences,University of Florida,The Horticultural Sciences (HOS) graduate program at University of Florida is administered jointly by the Environmental Horticulture (HSE) and Horticultural Sciences (HS) departments and offers graduate programs leading to the Master of Science (thesis or nonthesis options) and the Doctor of Philosophy degrees.,agriculture-forestry,27805.0, year,Gainesville,5.0,Florida,Alachua,29.6804,-82.3459,"75,000",82.7,1400,26,4.2,48000.0,30000.0,38382.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
52,Marine Biology,The University of Maine,"The MS and PhD in Marine Biology at The University of Maine are designed to provide students with a broad knowledge base in marine biology in areas including, but not restricted to, taxonomy/systematics, comparative morphology, evolution, genetics, physiology, cellular and molecular biology, and ecology.",agriculture-forestry,45591.0, year,Orono,5.0,Minnesota,Hennepin,44.9657,-93.5908,"75,000",82.7,1400,162,4.0,56000.0,35000.0,44186.0,,35320.0,4010.0,9976.0,5356.0,2972.0,Yes
53,Crop and Soil Sciences,University of Georgia,"Crop & soil scientists are responsible for the world’s food, feed & fiber supply, & conserving soil & water resources. Research in the Crop and Soil Sciences program from University of Georgia areas include Environmental Soil Science / Water Quality, Crop Management / Physiology, Turfgrass Science, Weed Science, & Plant Breeding / Genetics.",agriculture-forestry,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"75,000",82.7,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
54,Marine Biology,"University of California, San Diego","Marine Biology (MB) is the study of marine organisms and their relationship with the physical and chemical dynamics of the marine environment. The Marine Biology program is offered by the University of California, San Diego.",agriculture-forestry,,,San Diego,5.0,California,San Diego,32.8313,-117.1222,"75,000",82.7,1400,23,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
55,Animal Science,Cornell University,"The Animal Science program at Cornell University, which emphasizes training for independent research, is aimed at development of competent scientists who have mastered one subject, have adequate knowledge of related subjects, and have demonstrated their ability to plan, undertake, complete, and interpret research.",agriculture-forestry,19192.0, year,Ithaca,4.0,New York,Tompkins,42.4442,-76.5032,"75,000",82.7,19,4,4.4,52000.0,34000.0,41741.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
56,Animal Science,University of Tennessee Knoxville,"The student and major professor select the graduate advisory committee which must be comprised of at least 5 faculty members at the rank of assistant professor or above. The major professor serves as chair, 3 members must reside within the Department of Animal Science. The Animal Science program is offered by the University of Tennessee Knoxville.",agriculture-forestry,,,Knoxville,5.0,Tennessee,Knox,35.9692,-83.9496,"75,000",82.7,1400,1800,4.1,48000.0,31000.0,38579.0,41982.0,33257.0,3926.0,9191.0,5477.0,3213.0,Yes
57,Meteorology and Physical Oceanography,University of Miami,"The Meteorology and Physical Oceanography (MPO) program from University of Miami, prepares students to conduct research in meteorology and physical oceanography. It seeks to advance students’ knowledge and understanding of the physical and dynamical processes in the atmosphere and ocean.",agriculture-forestry,60068.0, year,Miami,2.0,Florida,Miami-Dade,25.784,-80.2101,"75,000",82.7,1400,96,4.0,54000.0,35000.0,43211.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
58,Meteorology and Physical Oceanography,University of Miami,"Students wishing to pursue a graduate degree in Meteorology and Physical Oceanography at the University of Miami must have strong quantitative skills and a solid foundation in one of the physical, mathematical or computational sciences.",agriculture-forestry,56193.0, year,Miami,2.0,Florida,Miami-Dade,25.784,-80.2101,"75,000",82.7,1400,96,4.0,54000.0,35000.0,43211.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
59,Horticulture,University of Georgia,"We offer Master’s and Ph.D. programs. These are traditional academic degree programs, emphasizing scientific study and original research. Each Horticulture program at University of Georgia is tailored to meet the needs of the student. Graduates work in academia, government, and industry.",agriculture-forestry,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"75,000",82.7,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
60,Marine Geosciences,University of Miami,"The mission of the Marine Geosciences Ph.D. program from University of Miami, is to educate and train students to become the next generation of scientists conducting research in and teaching marine geology and geophysics, geochemistry, and environmental geosciences.",agriculture-forestry,60068.0, year,Miami,2.0,Florida,Miami-Dade,25.784,-80.2101,"75,000",82.7,1400,96,4.0,54000.0,35000.0,43211.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
61,Veterinary Clinical Sciences,Louisiana State University,"Veterinary Clinical Sciences from Louisiana State University is designed to enhance competitiveness and scholarship. The objective of this program is to provide students with the tools to conduct original research in clinical sciences of small, large, and exotic animals.",agriculture-forestry,27172.0, year,Baton Rouge,,Louisiana,East Baton Rouge,30.442,-91.1311,"75,000",82.7,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
62,Forest Science,Northern Arizona University,The Forest Science program of the Northern Arizona University is the terminal degree offered in the profession of forestry. Students with the Ph.D. degree normally pursue a career in research and/or education.,agriculture-forestry,26554.0, year,Flagstaff,,Arizona,Coconino,35.1872,-111.6194,"75,000",82.7,501,142,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
63,Horticulture,Colorado State University,The graduate study programs are linked closely to faculty activities and research interests. Apply now to the Horticulture program offered by Colorado State University.,agriculture-forestry,29311.0, year,Fort Collins,3.0,Colorado,Larimer,40.5477,-105.0656,"75,000",82.7,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
64,Animal and Rangeland Science,"University of Nevada, Reno","To be admitted to the Animal and Rangeland Science Ph.D. Program at University of Nevada, Reno, prospective students must obtain the agreement of a graduate faculty member to serve as a student's advisor.",agriculture-forestry,15263.0, year,Reno,8.0,Nevada,Washoe,39.5497,-119.8483,"75,000",82.7,1400,144,4.1,55000.0,35000.0,43793.0,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,Yes
65,Marine Sciences,University of Georgia,"Study the biology, chemistry, geology, and physics of Earth’s oceans and coasts. We offer interdisciplinary training at facilities in Athens and the Skidaway Institute of Oceanography, and provide research opportunities on local and global issues. We offer a phd degree in Marine Sciences at the University of Georgia.",agriculture-forestry,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"75,000",82.7,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
